lat,lev,amp_t,phase_t,amp_e,phase_e,amp_n,phase_n
84,77.323,0.21,21.8,0.62,3.6,1.33,20.1
78,77.323,0.51,23.7,1.08,5,1.49,21.9
72,77.323,1.01,0.2,2.1,4.4,1.69,22.7
66,77.323,2.56,23.7,6.01,3.7,2.28,22.3
60,77.323,6.99,23.7,16.28,3.8,3.47,22
54,77.323,16.23,23.4,36.95,3.5,3.79,21.9
48,77.323,35.33,22.9,79.99,3.1,0.46,0.9
42,77.323,68.52,22.6,154.96,2.8,13.27,8.8
36,77.323,117.67,22.2,266.66,2.4,46.97,8.5
30,77.323,177.08,21.9,403.08,2.1,112.22,8.2
24,77.323,230.06,21.6,526.45,1.8,215.3,7.9
18,77.323,251.8,21.4,579.08,1.6,349.08,7.7
12,77.323,219.96,21.3,507.96,1.5,488.44,7.6
6,77.323,129.36,21.2,299.52,1.4,595.7,7.5
0,77.323,0,0.6,0,3,636.16,7.5
-6,77.323,129.36,9.2,299.52,13.4,595.7,7.5
-12,77.323,219.96,9.3,507.96,13.5,488.44,7.6
-18,77.323,251.8,9.4,579.08,13.6,349.08,7.7
-24,77.323,230.06,9.6,526.45,13.8,215.3,7.9
-30,77.323,177.08,9.9,403.08,14.1,112.22,8.2
-36,77.323,117.67,10.2,266.66,14.4,46.97,8.5
-42,77.323,68.52,10.6,154.96,14.8,13.27,8.8
-48,77.323,35.33,10.9,79.99,15.1,0.46,0.9
-54,77.323,16.23,11.4,36.95,15.5,3.79,21.9
-60,77.323,6.99,11.7,16.28,15.8,3.47,22
-66,77.323,2.56,11.7,6.01,15.7,2.28,22.3
-72,77.323,1.01,12.2,2.1,16.4,1.69,22.7
-78,77.323,0.51,11.7,1.08,17,1.49,21.9
-84,77.323,0.21,9.8,0.62,15.6,1.33,20.1
84,81.382,0.26,18.9,0.77,0.9,1.67,17.4
78,81.382,0.62,20.7,1.34,2.2,1.86,19.2
72,81.382,1.27,21.2,2.7,1.7,2.14,19.9
66,81.382,3.3,20.8,7.88,0.9,2.92,19.6
60,81.382,9.05,20.7,21.38,0.9,4.31,19.3
54,81.382,20.91,20.3,48.44,0.5,4.26,19.4
48,81.382,44.96,19.9,104.1,0.1,1.78,3.5
42,81.382,85.89,19.5,199.33,23.7,20.18,5.5
36,81.382,145.43,19.1,339.07,23.3,64.3,5.3
30,81.382,216.11,18.7,507,22.9,146.74,5
24,81.382,277.86,18.5,655.99,22.7,273.79,4.8
18,81.382,301.67,18.3,716.23,22.4,435.79,4.6
12,81.382,262.03,18.1,624.87,22.3,602.48,4.4
6,81.382,153.58,18,367.27,22.2,729.78,4.4
0,81.382,0,21.8,0,0.8,777.63,4.3
-6,81.382,153.58,6,367.27,10.2,729.78,4.4
-12,81.382,262.03,6.1,624.87,10.3,602.48,4.4
-18,81.382,301.67,6.3,716.23,10.4,435.79,4.6
-24,81.382,277.86,6.5,655.99,10.7,273.79,4.8
-30,81.382,216.11,6.7,507,10.9,146.74,5
-36,81.382,145.43,7.1,339.07,11.3,64.3,5.3
-42,81.382,85.89,7.5,199.33,11.7,20.18,5.5
-48,81.382,44.96,7.9,104.1,12.1,1.78,3.5
-54,81.382,20.91,8.3,48.44,12.5,4.26,19.4
-60,81.382,9.05,8.7,21.38,12.9,4.31,19.3
-66,81.382,3.3,8.8,7.88,12.9,2.92,19.6
-72,81.382,1.27,9.2,2.7,13.7,2.14,19.9
-78,81.382,0.62,8.7,1.34,14.2,1.86,19.2
-84,81.382,0.26,6.9,0.77,12.9,1.67,17.4
84,85.528,0.33,15.9,0.95,21.9,2.09,14.4
78,85.528,0.79,17.7,1.65,23.3,2.28,16.2
72,85.528,1.66,18.1,3.45,22.6,2.63,17
66,85.528,4.44,17.6,10.28,21.9,3.58,16.7
60,85.528,12.01,17.5,27.71,21.8,5.11,16.4
54,85.528,27.45,17.1,62.54,21.4,4.55,16.8
48,85.528,58.27,16.6,133.38,20.9,4.53,0.9
42,85.528,109.86,16.2,252.71,20.4,29.11,2.1
36,85.528,184.01,15.8,425.85,20,85.61,2
30,85.528,270.97,15.5,631.31,19.7,188.45,1.7
24,85.528,345.95,15.2,810.99,19.4,344.01,1.5
18,85.528,373.6,15,880.51,19.2,539.69,1.3
12,85.528,323.32,14.8,765.1,19,739.17,1.2
6,85.528,189.1,14.7,448.61,18.9,890.59,1.1
0,85.528,0,19.5,0,22.6,947.33,1.1
-6,85.528,189.1,2.7,448.61,6.9,890.59,1.1
-12,85.528,323.32,2.8,765.1,7,739.17,1.2
-18,85.528,373.6,3,880.51,7.2,539.69,1.3
-24,85.528,345.95,3.2,810.99,7.4,344.01,1.5
-30,85.528,270.97,3.5,631.31,7.7,188.45,1.7
-36,85.528,184.01,3.8,425.85,8,85.61,2
-42,85.528,109.86,4.2,252.71,8.4,29.11,2.1
-48,85.528,58.27,4.6,133.38,8.9,4.53,0.9
-54,85.528,27.45,5.1,62.54,9.4,4.55,16.8
-60,85.528,12.01,5.5,27.71,9.8,5.11,16.4
-66,85.528,4.44,5.6,10.28,9.9,3.58,16.7
-72,85.528,1.66,6.1,3.45,10.6,2.63,17
-78,85.528,0.79,5.7,1.65,11.3,2.28,16.2
-84,85.528,0.33,3.9,0.95,9.9,2.09,14.4
84,89.587,0.44,12.9,1.2,18.8,2.67,11.3
78,89.587,1.01,14.7,2.07,20.2,2.85,13.1
72,89.587,2.17,15.1,4.46,19.5,3.27,13.8
66,89.587,5.87,14.6,13.5,18.7,4.46,13.5
60,89.587,15.61,14.4,35.9,18.6,6.29,13.4
54,89.587,35.29,14,80.47,18.1,5.45,14.1
48,89.587,74.08,13.5,170.22,17.6,7.21,21.4
42,89.587,138.28,13,319.7,17.1,38.46,22.7
36,89.587,229.92,12.6,535.42,16.7,109.51,22.6
30,89.587,336.64,12.3,789.76,16.4,237.74,22.4
24,89.587,428.03,12,1010.94,16.1,430.68,22.2
18,89.587,460.91,11.8,1094.88,15.9,672.51,22
12,89.587,398.13,11.7,949.84,15.7,918.49,21.9
6,89.587,232.61,11.6,556.45,15.6,1104.98,21.8
0,89.587,0,17.6,0,20.9,1174.82,21.8
-6,89.587,232.61,23.6,556.45,3.6,1104.98,21.8
-12,89.587,398.13,23.7,949.84,3.7,918.49,21.9
-18,89.587,460.91,23.8,1094.88,3.9,672.51,22
-24,89.587,428.03,0,1010.94,4.1,430.68,22.2
-30,89.587,336.64,0.3,789.76,4.4,237.74,22.4
-36,89.587,229.92,0.6,535.42,4.7,109.51,22.6
-42,89.587,138.28,1,319.7,5.1,38.46,22.7
-48,89.587,74.08,1.5,170.22,5.6,7.21,21.4
-54,89.587,35.29,2,80.47,6.1,5.45,14.1
-60,89.587,15.61,2.4,35.9,6.6,6.29,13.4
-66,89.587,5.87,2.6,13.5,6.7,4.46,13.5
-72,89.587,2.17,3.1,4.46,7.5,3.27,13.8
-78,89.587,1.01,2.7,2.07,8.2,2.85,13.1
-84,89.587,0.44,0.9,1.2,6.8,2.67,11.3
84,93.768,0.59,9.7,1.61,15.5,3.61,7.9
78,93.768,1.34,11.6,2.77,16.9,3.79,9.8
72,93.768,2.88,11.9,6.02,16.1,4.32,10.5
66,93.768,7.82,11.4,18.32,15.4,5.97,10.2
60,93.768,20.42,11.2,47.81,15.3,8.45,10.1
54,93.768,45.62,10.7,106.18,14.7,7.62,10.8
48,93.768,94.65,10.2,222.41,14.2,9.23,17.5
42,93.768,175.03,9.8,414.26,13.8,48.4,19.1
36,93.768,288.98,9.4,690.04,13.4,138.69,19.1
30,93.768,420.84,9,1013.7,13,302.18,19
24,93.768,533.03,8.7,1294.29,12.7,548.78,18.8
18,93.768,572.41,8.5,1399.43,12.5,858.49,18.6
12,93.768,493.56,8.3,1212.88,12.3,1174.03,18.5
6,93.768,288.07,8.2,710.18,12.2,1413.53,18.4
0,93.768,0,15.8,0,19.3,1503.27,18.4
-6,93.768,288.07,20.2,710.18,0.2,1413.53,18.4
-12,93.768,493.56,20.3,1212.88,0.3,1174.03,18.5
-18,93.768,572.41,20.5,1399.43,0.5,858.49,18.6
-24,93.768,533.03,20.7,1294.29,0.7,548.78,18.8
-30,93.768,420.84,21,1013.7,1,302.18,19
-36,93.768,288.98,21.4,690.04,1.4,138.69,19.1
-42,93.768,175.03,21.8,414.26,1.8,48.4,19.1
-48,93.768,94.65,22.2,222.41,2.2,9.23,17.5
-54,93.768,45.62,22.7,106.18,2.7,7.62,10.8
-60,93.768,20.42,23.2,47.81,3.3,8.45,10.1
-66,93.768,7.82,23.4,18.32,3.4,5.97,10.2
-72,93.768,2.88,23.9,6.02,4.1,4.32,10.5
-78,93.768,1.34,23.6,2.77,4.9,3.79,9.8
-84,93.768,0.59,21.7,1.61,3.5,3.61,7.9
84,97.892,0.83,6.3,2.2,12.2,4.99,4.6
78,97.892,1.87,8.1,3.77,13.6,5.18,6.4
72,97.892,3.97,8.4,8.19,12.8,5.91,7.1
66,97.892,10.75,7.9,24.86,12.1,8.28,6.8
60,97.892,27.62,7.7,63.59,12,11.83,6.6
54,97.892,61.01,7.2,139.58,11.4,11.1,7.1
48,97.892,125.12,6.7,288.39,10.9,9.36,13.7
42,97.892,229.2,6.3,531.2,10.5,57.33,15.9
36,97.892,375.61,5.8,876.94,10,169.97,15.9
30,97.892,543.85,5.4,1278.84,9.7,374.59,15.7
24,97.892,685.91,5.1,1623.76,9.4,683.56,15.4
18,97.892,734.31,4.9,1748.34,9.1,1071.76,15.3
12,97.892,631.85,4.7,1510.96,8.9,1467.32,15.1
6,97.892,368.34,4.6,883.23,8.8,1767.53,15
0,97.892,0,14.1,0,17.7,1880.02,15
-6,97.892,368.34,16.6,883.23,20.8,1767.53,15
-12,97.892,631.85,16.7,1510.96,20.9,1467.32,15.1
-18,97.892,734.31,16.9,1748.34,21.1,1071.76,15.3
-24,97.892,685.91,17.1,1623.76,21.4,683.56,15.4
-30,97.892,543.85,17.4,1278.84,21.7,374.59,15.7
-36,97.892,375.61,17.8,876.94,22,169.97,15.9
-42,97.892,229.2,18.3,531.2,22.5,57.33,15.9
-48,97.892,125.12,18.7,288.39,22.9,9.36,13.7
-54,97.892,61.01,19.2,139.58,23.4,11.1,7.1
-60,97.892,27.62,19.7,63.59,24,11.83,6.6
-66,97.892,10.75,19.9,24.86,0.1,8.28,6.8
