R,I
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-0.515534619,0.57951409
-0.029448502,0.594216285
-0.606634179,0.725225342
0.069978686,0.8496156
0.137650952,1.065889301
-0.257595446,1.311588111
-0.575344767,1.228532914
-0.632384033,1.066055689
-0.699460112,0.617202048
-0.453382245,0.990817838
0.825949571,-0.980611805
1.214113592,-1.801613289
1.649789514,-2.636555592
1.550626039,-2.575637718
1.696375282,-2.159136072
1.415953322,-1.672550179
0.895208432,-1.056733587
0.506390556,-0.916072743
0.719622028,-0.225526219
-0.385347439,0.946364564
0.111052835,0.698761058
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
0.043761841,0.815729787
0.562924954,0.229800601
-0.576049869,0.752809596
0.589816844,0.7765767
0.852522697,1.380250066
0.749077791,1.633432987
0.653145431,1.837599512
0.65308234,1.672648271
0.517907732,1.208089807
0.374873837,0.892041947
0.029481143,-1.337460519
0.321201343,-2.169872165
0.076071867,-3.294903353
-0.121757427,-3.468642173
-0.33763144,-3.124484034
0.070481839,-2.561555521
0.118182998,-1.796867447
0.125746018,-0.969051432
0.519547949,-0.585698771
0.133066894,-0.601340681
0.232399312,0.593688186
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
0.188314172,1.003275554
-0.206434106,0.820453495
0.117458541,0.77027668
1.011367097,0.66852159
1.465334974,1.26963883
1.600093545,1.222056883
1.784413622,1.455920554
2.121436292,0.535429636
1.291601283,0.828312325
1.099170298,-0.531522998
-0.945708933,-1.239901025
-1.287730455,-1.879279213
-1.760797063,-2.652406309
-2.066465871,-3.016718552
-2.341838665,-2.974096246
-1.577364017,-2.297973692
-1.201382919,-1.576625747
-0.294032789,-1.137722706
0.667376773,-0.789335473
0.966725928,-0.260853354
0.5926224,0.490566345
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
0.603195166,1.04620003
-0.695074876,1.303503828
0.304212286,-0.6388955
1.038611457,-0.818882395
1.789392738,-0.175816471
2.038522887,-0.375643355
2.012781855,-0.857113899
1.925343945,-1.360290473
1.474618099,-1.369417954
0.759987768,-1.694343311
-1.608905204,-1.029645773
-2.538089353,-0.684755881
-2.908860238,-0.884076564
-3.347589615,-1.27015535
-3.166614192,-1.358044149
-2.635568828,-0.931295508
-2.121969879,-0.859622091
-0.895545524,-1.052673503
0.463551799,-1.186122926
0.560705384,-0.84512224
0.549525796,0.709246515
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
0.743197277,0.630765538
-1.159853388,0.57565593
0.139615555,-1.048951972
0.153852717,-1.789816778
0.349101421,-2.550111227
0.922963856,-2.589007642
0.090717173,-2.577914319
-0.003007204,-2.736224147
-0.246599437,-2.574495335
-0.608319294,-2.302602774
-2.110031937,-0.417088843
-2.49589511,0.887026744
-2.691889743,1.315491314
-2.849221935,1.428725803
-2.418298883,1.214619381
-2.240914267,1.20409549
-1.904577589,0.948966325
-1.257623615,-0.09982824
-0.501881673,-1.351319619
-0.621447631,-1.274547137
0.714862247,0.625164644
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
0.829935559,0.05422844
-1.049899235,-0.662312197
-0.917485928,-1.163965114
-0.783069207,-1.896702494
-1.371864494,-2.522592188
-1.915752924,-3.513740881
-2.874306931,-2.642442773
-2.758800548,-2.314607408
-2.555065223,-1.874140887
-2.468255525,-1.67764861
-2.824371716,-0.27227199
-1.98968175,1.413214096
-1.317386092,2.563363254
-1.142732638,3.334317564
-0.585950781,2.744965508
-0.274205437,2.383083683
-0.370053061,2.166204183
-0.237437561,1.271301571
-0.784017667,-1.352622781
-0.632422562,-1.17205161
1.015605661,-0.348059103
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-0.77242405,-0.281374043
-1.209877179,-0.72336197
-1.592567131,-0.546839963
-1.691651493,-0.485387369
-2.268207044,-0.704486473
-3.576095244,-0.990750659
-4.247316461,-0.62309032
-3.688981561,0.119759764
-3.786622537,0.638328297
-3.687812057,0.387999028
-3.447752781,1.53200948
-1.569645902,2.640119432
-0.129478708,2.854960136
0.995959098,3.323770841
0.924816233,2.638007263
1.13097653,1.636762413
1.011567607,1.354910631
0.242419074,1.217954735
-1.572604611,0.209102991
-0.87909491,-1.036707392
0.655827413,-1.09977991
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-1.023715637,0.188240129
-1.334783556,-0.434204012
-1.750442903,0.698779844
-1.408592997,2.160038847
-1.524252662,3.022859979
-2.435364894,2.373661685
-3.318923395,2.360734295
-2.542687431,2.742792211
-2.573147265,3.115656788
-2.978707575,2.669230841
-2.081470578,3.447183436
-0.328150461,3.528703733
1.015112551,3.326415488
2.445475347,2.505779856
1.443480623,2.283459469
1.555467559,1.838958186
1.034558369,0.991245174
0.152004292,1.395868372
-1.512869617,0.415170438
-0.451746995,-0.991504472
0.051965667,-1.310224383
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
-999,-999
