R,I
-999,-999
1.800586161,3.015364191
2.70677598,1.338235362
2.057159617,1.503016345
1.860219133,1.028228699
1.364654006,0.635455812
0.564932481,0.995694402
0.395393835,0.468905366
-1.017109546,-0.158450688
-1.946502697,-0.371702915
-2.621721377,0.051705777
-2.850230846,-0.352468195
-2.764422455,-0.608484616
-1.872349807,-1.127707805
-0.605903044,-1.026075372
0.68292539,-1.004669568
2.35004007,-0.239057288
3.668894477,-0.173985259
4.402773038,-0.081050351
4.805697136,-0.354683059
4.847740241,-0.460000683
4.904512277,-0.318271173
4.736406812,-0.468706517
4.346664611,0.027876372
3.346364598,0.485458582
1.991418677,0.924442996
0.415139052,1.220166173
-0.873702345,1.250786289
-1.977596853,0.46282804
-2.011416075,0.138490093
-2.591857486,0.984920287
-2.860918339,1.848889338
-3.095945987,2.827958384
-999,-999
3.192198075,0.724078073
3.197257235,0.294828919
3.011324827,0.334690955
2.784824771,0.261868946
2.009325898,0.212613879
1.211460441,1.002922546
0.615577906,1.027792049
-1.219699072,1.403505693
-1.947577447,1.878808234
-2.101840182,2.436204846
-2.229626737,2.515180763
-2.414588506,2.248294777
-2.245928482,1.181083894
0.104574656,-1.775261498
1.859275762,-1.114875488
3.070741892,-1.566201172
4.148681582,-2.381906032
4.419888934,-3.259986742
4.442854243,-3.936212724
4.249092651,-4.043155147
4.02390409,-3.932581229
3.849987727,-3.281459963
3.826876561,-2.132453616
3.388221953,-0.798506332
2.514869504,0.242120856
1.244443081,0.563139818
0.255899798,0.933809403
-1.404486493,-0.06667649
-1.65636287,-0.531935948
-1.949993979,-0.266142932
-2.07746249,0.13966735
-2.054926357,1.348553222
-999,-999
3.993807125,1.315833178
3.668737037,1.068512357
3.060398042,1.005875615
2.402087375,1.025032156
1.768882822,0.999461385
1.302470739,1.761494809
0.496481312,2.176942578
-0.019025443,2.933397603
-0.210113249,3.770739269
0.236763913,4.325376315
0.655107151,4.493399011
1.154020075,4.303798949
1.993838145,3.197785191
3.147471487,0.306458498
3.340345267,-1.24710046
3.75552567,-2.858800786
3.892087114,-4.593965254
3.509668177,-5.986955509
2.982516847,-6.915921697
2.626022358,-7.027680044
2.156281805,-6.685420692
1.974549787,-5.697867191
1.982407456,-4.515953868
2.301999936,-2.933159945
2.321664799,-1.225886741
1.40562717,-0.672357001
0.702193561,-0.526665802
-0.757561111,-0.780704997
-1.258160399,-1.320251909
-0.729833021,-1.155907152
-1.069845888,-0.834286524
-1.524607276,-0.464165355
-999,-999
3.369704203,2.292193254
2.731360286,2.501090042
1.794212761,2.342179226
1.554012068,1.733486383
0.819286294,1.505925347
1.428407486,1.870589547
1.55219563,2.381471936
1.773687416,3.088112312
2.534873886,3.638423097
3.065982822,4.120309585
3.840808238,4.079690045
4.686368562,3.609991688
5.410310384,2.096735624
5.572391856,0.095199646
5.042102012,-2.159379648
4.30158107,-4.402621037
3.233894201,-6.504039695
2.050302777,-8.043142113
0.805385705,-8.882978103
0.128561643,-8.837757965
-0.268190912,-8.169559089
-0.327597199,-6.840118606
-0.283355965,-5.373885743
0.312126018,-3.850416391
1.323733934,-2.38178185
0.943307082,-1.76401131
0.3510564,-1.488401687
-0.193323611,-1.462343946
-0.963479111,-1.778388509
-0.169192244,-1.591577294
-0.420098864,-1.575980275
-0.53716227,-1.787209997
-999,-999
2.182465236,3.390975718
-0.162160605,3.489537188
-0.042194527,2.626124047
0.351315225,1.812532967
0.395641015,1.239233313
1.782146959,1.465589429
2.638975676,1.703685051
3.449236266,1.915073461
4.481147978,1.916986665
5.379733133,2.003922115
6.299694792,1.487319103
7.077482865,0.388864859
7.225767886,-1.316395284
6.661806013,-3.043675755
5.400985475,-4.571884969
3.777923761,-6.126728111
1.821230279,-7.53460263
-0.140956494,-8.520726174
-2.07649969,-8.785770041
-3.052329098,-8.438396274
-3.353646496,-7.626438562
-3.110986589,-6.386606441
-2.409820587,-4.967583819
-1.292896031,-3.777518171
-0.519108871,-2.799421075
-0.216398298,-2.194354859
-0.564431169,-1.611514452
-1.291330085,-1.374605376
-2.042548262,-1.553191196
-1.367246945,-2.020301935
-1.3528003,-1.886507626
-0.548196625,-2.314051709
-999,-999
-0.507402497,3.918739538
-0.735273867,2.862540897
-0.073799847,2.150622931
1.042901215,2.047910708
1.810874003,0.379801552
2.564087209,-0.026851369
3.373958928,-0.569228815
4.005022619,-0.863403166
4.7060232,-1.356190802
5.320998532,-2.194827405
5.876095156,-3.181099846
6.13885486,-4.46150699
5.751806441,-5.697635994
4.92469634,-6.513956112
3.658562508,-6.855305122
1.967014254,-7.040079205
-0.33035182,-7.198158415
-2.564456416,-7.033810825
-4.456912641,-6.399860108
-5.440529482,-5.582280293
-5.86500138,-4.40667293
-5.613695016,-3.188837296
-4.310685677,-2.82255161
-2.824502935,-2.676773219
-2.205902717,-2.067690959
-1.670677466,-2.022034821
-2.092648621,-0.817945257
-2.256521172,0.901945668
-2.840484873,1.461037602
-3.58453838,1.369620089
-3.205898638,0.547352777
-2.796944576,0.252817563
-999,-999
-0.809826131,4.898820099
-0.103285775,3.192444625
0.121585518,1.801420601
1.2984358,-2.107139053
1.673986994,-2.141529934
2.476200074,-2.175644944
2.678324414,-2.58562393
2.914266832,-3.069266041
3.114295098,-3.682426371
3.061051053,-4.669643027
2.815382197,-5.838886177
2.444444706,-7.08462078
1.660020615,-7.805000226
0.859357144,-7.898966926
-0.241361724,-7.422813953
-1.794564153,-6.515821443
-3.586968164,-5.271666316
